Run,Mean_Q_Time_Nurse
0,11.970382737939971
1,30.575429309065118
2,22.224994164797415
3,5.300908825432829
4,5.270264473310769
5,19.31940026395619
6,1.4968176584028197
7,10.006171949831971
8,9.372864972785367
9,19.106967290349516
10,4.931467250064662
11,9.179506113148689
12,7.445255715715735
13,7.456240692624903
14,11.962417438783884
15,30.40982597517051
16,3.981347997679985
17,4.342715679881676
18,7.339639675748446
19,31.712757421039196
20,4.319696340209893
21,17.428923745695123
22,11.944463125268342
23,3.2035593137868403
24,13.466362227582254
25,34.3821197105678
26,12.059854642107883
27,6.825130929418798
28,14.961926637639564
29,39.096300541407835
30,9.576789549303923
31,7.323609930453107
32,11.456582909882444
33,19.32746291451446
34,7.3595148456962125
35,23.555333049086745
36,28.51223163519298
37,32.318467089058494
38,18.843214280780476
39,7.293558777731702
40,2.2071109388601315
41,3.4642309666252245
42,36.24260885520887
43,19.296812616337764
44,9.037420180655342
45,10.021605187442713
46,5.371658758407431
47,11.835829026168094
48,8.692769839095495
49,38.8760037512127
50,13.780100639094735
51,15.286540931169993
52,32.78103185145731
53,15.993204519594387
54,2.2820362403423795
55,12.779562480049776
56,8.379158538460798
57,17.18176455675193
58,30.20138908507215
59,18.562695814733395
60,26.592577070106675
61,14.348166845221094
62,22.995974333375894
63,3.1272691375121715
64,30.963365137638064
65,2.9220822074932915
66,1.2948130492338377
67,3.9744305778802795
68,6.670826067096542
69,26.176237036894282
70,7.462334659942049
71,18.04064087238353
72,21.285540267616533
73,15.806707795307165
74,34.834117536261076
75,8.288697304728913
76,2.177408161438275
77,18.16354681577314
78,15.885377054508924
79,21.880213198559197
80,22.214835598916896
81,24.663654964115118
82,31.347155194403676
83,30.899686051466755
84,4.22234489669533
85,13.882669006217972
86,3.8959926162025176
87,2.6460127987685977
88,24.373775926861107
89,9.5766115891173
90,20.55859222898427
91,20.199839306188267
92,12.670638453771014
93,21.87702425230116
94,21.435722703255465
95,8.103152808121902
96,24.733998290075178
97,54.21106839065343
98,23.07544115300777
99,24.860577534981218
